C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
62703,1,5.0,1,2.184621991717234,1.3776688453428372,3,1,True
63201,0,21.0,0,0.9008353972687915,0.7565387644580576,11,0,True
63202,0,19.0,0,0.9741922721556385,0.8231896477004798,10,0,True
64201,0,17.0,0,1.0771269102422416,0.9140544430627189,9,0,True
64801,1,5.0,1,0.83892761237191,0.83892761237191,3,0,False
65001,1,9.0,1,0.9087054566981844,0.9087054566981843,5,0,False
66202,1,9.0,1,1.4091079596501208,1.3954848780412912,5,1,True
66501,1,17.0,1,1.3499303729129297,1.071599966974486,9,1,True
66502,1,19.0,1,5.270816964599956,1.653677312570221,10,1,True
67702,1,3.0,1,12.713207906310108,6.939350617591959,2,1,True
67704,1,5.0,1,3.288253501009941,1.9666609241630422,3,1,True
68801,0,17.0,0,0.9379068933276237,0.8316367876887342,9,0,True
68802,0,19.0,0,2.1607791355601234,1.9485166183562388,10,1,False
68902,1,11.0,1,1.617009554488643,1.617009554488643,6,1,True
69201,0,19.0,0,0.767755343093817,0.6563148313809531,10,0,True
70302,1,5.0,1,1.2389978248258824,1.2389978248258824,3,1,True
70303,1,9.0,1,2.380048869880883,1.2287132039483404,5,1,True
70402,0,15.0,0,0.8838745865798529,0.7803532661268509,8,0,True
70603,0,19.0,0,1.3969040454960535,1.2663209333465515,10,1,False
70801,1,5.0,1,0.728713288793356,0.728713288793356,3,0,False
71301,1,3.0,1,3.0768859099579355,2.4265095668663914,2,1,True
72601,0,3.0,0,0.7611060155995846,0.7611060155995846,2,0,True
73301,0,19.0,0,0.9166442721240777,0.9134112260824654,10,0,True
73303,1,5.0,1,7.210458742914427,3.359377297163828,3,1,True
73901,0,21.0,0,1.9448568976989897,1.3514288933187972,11,1,False
73902,0,19.0,0,0.9798304443293205,0.8885914303613655,10,0,True
74001,0,11.0,0,0.8244110448882795,0.8244110448882797,6,0,True
74402,1,17.0,1,3.1165821422138893,1.198497361777035,9,1,True
74601,1,3.0,1,4.709449136054183,3.0716428551713557,2,1,True
75601,0,21.0,0,1.8270245814867527,1.3954170670087234,11,1,False
75801,0,21.0,0,0.806756611585281,0.7973893211810477,11,0,True
