csv_code,coefficient,survey_year,feature_group,question,abs_coefficient
C1798300,0.013382844510274048,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.013382844510274048
C1559500,-0.012970603092690975,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.012970603092690975
Y0968700,0.012333663500644767,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF FENCING/RECEIVING/SELLING STOLEN,0.012333663500644767
C0984300,0.012293479169851317,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.012293479169851317
Y0966300,0.012179223240013762,1998,prior delinquency/contact,YA SELF-REPORT: EVER IN LAST YEAR DAMAGED PROPERTY OF OTHERS ON,0.012179223240013762
C1505600,0.012137296910367084,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.012137296910367084
C1183900,0.011963101934271338,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.011963101934271338
Y0377700,-0.011407896849247886,1994,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF DESTRUCTION OF PROPERTY?,0.011407896849247886
C1979700,-0.010954063511310001,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.010954063511310001
C1932800,0.010700884660931328,1998,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.010700884660931328
Y0969700,0.010629085471944195,1998,prior delinquency/contact,YA SELF-REPORT: EVER BEEN CONVICTED OF ANYTHING IN ADULT COURT?,0.010629085471944195
C0781700,-0.010582444371464063,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.010582444371464063
Y0674200,0.010157578615196183,1996,socioeconomic/work,YA SELF-REPORT: WAS VOLUNTEER WORK COURT ORDERED?,0.010157578615196183
C0732800,-0.009180417757786387,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE YOU EVER DRUNK ALCOHOL,0.009180417757786387
C0733400,-0.00846668684877947,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE YOU EVER USED OTHER DRUGS,0.00846668684877947
C0984700,-0.008402748223408302,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.008402748223408302
C1184800,-0.008037434691288097,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.008037434691288097
C0986800,-0.007974336429787333,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.007974336429787333
Y0376800,0.007842734668680315,1994,prior delinquency/contact,YASR: EVER BEEN CONVICTED OF CHARGES OTHER THAN MINOR TRAFFIC,0.007842734668680315
C0576704,0.00754956678825601,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.00754956678825601
C0993800,0.0070204173237451975,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.0070204173237451975
C0944900,0.0067508549080739855,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: R USED MARIJUANA IN THE PAST 3 MONTHS,0.0067508549080739855
C0576706,-0.006605172279334367,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.006605172279334367
C1560200,0.006323473425173255,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.006323473425173255
C0575500,0.00626806537931808,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.00626806537931808
