feature_index,feature,threshold,left_value,right_value,loss,iteration,csv_code,survey_year,feature_group,question
249,C0005700,1983.0,-0.16483508365532867,0.07048117773119095,0.1881531717884006,73,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.16300852492379342,0.0696547060004343,0.18815358343926145,74,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.11335373402989217,0.09895348807280197,0.18808238600047417,75,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.15995756553478252,0.06828361188682358,0.18807492672905576,76,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.11122591020852868,0.09700538877624515,0.18801160934190322,77,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.15697787524049478,0.06694298177434806,0.18799943620976498,78,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.10914658293168801,0.09509975126114137,0.18794383855977367,79,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.1540675169474738,0.0656320721266535,0.18792697743758452,80,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.10711444462852693,0.09323554089729368,0.1878789331707918,81,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.15122460525868534,0.06435015781154049,0.18785742199703284,82,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.10512822326154307,0.09141174917061282,0.18781675957890392,83,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.14844730585274393,0.06309653176826822,0.18779064722376715,84,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.15025249611066596,-0.06211634669113341,0.1877535673583589,85,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1985.0,-0.114487278823688,0.07970382772491834,0.18765531485269593,86,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.14494454047982155,0.06151826068391578,0.18762150235318922,87,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.14690824923053825,-0.06082143055899258,0.18754789465260646,88,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1983.0,-0.1427381758009876,0.060522764248128955,0.18750406322298732,89,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.14452638705478404,-0.059895466121665075,0.18744065097403315,90,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1986.0,-0.09877030277290227,0.08558969516042467,0.18736679274397994,91,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.1395218446200226,0.05908011558930961,0.1873321477895254,92,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
117,C1220200,3.5,0.1412624482263098,-0.058621547625908765,0.187260430516331,93,C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET
249,C0005700,1984.0,-0.12231296964109914,0.06549339599166425,0.1872221409251278,94,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
