C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
293403.0,2934.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
293501.0,2935.0,,,,,,,,,,,,,,
293502.0,2935.0,,,,,,,,,,,,,,
293601.0,2936.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
293801.0,2938.0,1.0,1.0,3.0,2.0,2008.0,2020.0,2020.0,1.0,0.0,1.0,1.0,2020.0,,2020.0
294301.0,2943.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294302.0,2943.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294303.0,2943.0,1.0,0.0,2.0,1.0,2016.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294601.0,2946.0,1.0,1.0,6.0,3.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294602.0,2946.0,1.0,1.0,3.0,2.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294801.0,2948.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
294802.0,2948.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294803.0,2948.0,1.0,0.0,2.0,1.0,2002.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
294804.0,2948.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
294901.0,2949.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2012.0,0.0,0.0,0.0,0.0,,,2012.0
294902.0,2949.0,1.0,1.0,6.0,4.0,2000.0,2002.0,2014.0,0.0,0.0,0.0,0.0,,,2014.0
294903.0,2949.0,1.0,1.0,5.0,3.0,2002.0,2004.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
294904.0,2949.0,1.0,1.0,7.0,3.0,2008.0,2010.0,2020.0,1.0,0.0,1.0,1.0,2012.0,,2020.0
295201.0,2952.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
295501.0,2955.0,1.0,0.0,2.0,1.0,2012.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
295502.0,2955.0,1.0,1.0,6.0,4.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
295901.0,2959.0,1.0,1.0,3.0,2.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
295902.0,2959.0,1.0,0.0,2.0,1.0,2014.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
295903.0,2959.0,1.0,0.0,2.0,1.0,2016.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
296101.0,2961.0,1.0,0.0,2.0,1.0,2002.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
296102.0,2961.0,1.0,1.0,5.0,3.0,2002.0,2004.0,2020.0,1.0,0.0,1.0,1.0,2012.0,,2020.0
296103.0,2961.0,1.0,0.0,2.0,1.0,2014.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
296401.0,2964.0,1.0,1.0,4.0,2.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
296402.0,2964.0,1.0,1.0,6.0,3.0,2016.0,2018.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
296901.0,2969.0,,,,,,,,,,,,,,
297001.0,2970.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
297002.0,2970.0,0.0,0.0,0.0,0.0,,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
297003.0,2970.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
297801.0,2978.0,1.0,0.0,2.0,1.0,2002.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
297802.0,2978.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
297901.0,2979.0,1.0,1.0,6.0,4.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
297902.0,2979.0,1.0,0.0,2.0,1.0,2010.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
