csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
Y2258102,Y22581.02,YASR-65A~000003,2008,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - THEFT,prior delinquency/contact,2008.0
Y2258104,Y22581.04,YASR-65A~000005,2008,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - DESTRUCTION OF PROPERTY,prior delinquency/contact,2008.0
Y2258300,Y22583.00,YASR-67,2008,Crime & Substance Use,crime_related_variable,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,prior delinquency/contact,2008.0
Y2258200,Y22582.00,YASR-66,2008,Other / Unclassified,crime_related_variable,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,prior delinquency/contact,2008.0
Y2019900,Y20199.00,Q4-5AA,2008,Crime & Substance Use,crime_related_variable,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,school/achievement,2008.0
Y2020000,Y20200.00,Q4-5AB,2008,Crime & Substance Use,crime_related_variable,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,school/achievement,2008.0
Y2257500,Y22575.00,YASR-61B,2008,Crime & Substance Use,crime_related_variable,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,school/achievement,2008.0
C3870300,C38703.00,CSAS040E,2008,"Education, Training & Achievement Scores",crime_related_variable,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,school/achievement,2008.0
Y2256900,Y22569.00,YASR-60F,2008,"Education, Training & Achievement Scores",crime_related_variable,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,school/achievement,2008.0
Y2258700,Y22587.00,YASR-69B,2008,Crime & Substance Use,crime_related_variable,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?,socioeconomic/work,2008.0
C3873700,C38737.00,CSAS056B,2008,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,substance/risk behavior,2008.0
C3873900,C38739.00,CSAS057B,2008,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN,substance/risk behavior,2008.0
C3874500,C38745.00,CSAS063,2008,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,substance/risk behavior,2008.0
Y2258106,Y22581.06,YASR-65A~000007,2008,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,substance/risk behavior,2008.0
Y2258107,Y22581.07,YASR-65A~000008,2008,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR,substance/risk behavior,2008.0
Y2590306,Y25903.06,Q16-9~000007,2010,"Attitudes, Expectations & Non-cognitive Tests",quick_curated_logit_predictor; substantive_lasso_top30,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -,behavioral/externalizing,2010.0
C5192800,C51928.00,MS-BPI-31,2010,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,2010.0
C3986600,C39866.00,BPMIS22010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,behavioral/externalizing,2010.0
C3986700,C39867.00,BPEXTR2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,2010.0
C3987200,C39872.00,BPEXTP2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,2010.0
C3987300,C39873.00,BPEXTZ2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,2010.0
C3987500,C39875.00,ANTI2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,2010.0
C3987600,C39876.00,ANTIPX2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,2010.0
C3987700,C39877.00,ANTIP2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,2010.0
C3987800,C39878.00,ANTIZX2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,2010.0
C3987900,C39879.00,ANTIZ2010,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,2010.0
C5190000,C51900.00,MS-BPI-04,2010,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,behavioral/externalizing,2010.0
