csv_code,ref_id,variable,survey_year,topic,question
C3366300,C33663.00,CSAS040B,2006,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C3366600,C33666.00,CSAS040E,2006,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1940600,Y19406.00,YASR-60C,2006,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y1940900,Y19409.00,YASR-60F,2006,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y1941500,Y19415.00,YASR-61B,2006,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y1942200,Y19422.00,YASR-66,2006,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y1942300,Y19423.00,YASR-67,2006,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C3870000,C38700.00,CSAS040B,2008,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C3870300,C38703.00,CSAS040E,2008,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2256600,Y22566.00,YASR-60C,2008,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y2256900,Y22569.00,YASR-60F,2008,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y2257500,Y22575.00,YASR-61B,2008,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y2258200,Y22582.00,YASR-66,2008,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y2258300,Y22583.00,YASR-67,2008,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C5118200,C51182.00,CSAS040B,2010,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C5118500,C51185.00,CSAS040E,2010,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2608200,Y26082.00,YASR-60C,2010,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y2608500,Y26085.00,YASR-60F,2010,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y2609100,Y26091.00,YASR-61B,2010,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y2609800,Y26098.00,YASR-66,2010,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y2609900,Y26099.00,YASR-67,2010,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C5695700,C56957.00,CSAS040B,2012,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C5696000,C56960.00,CSAS040E,2012,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2958300,Y29583.00,YASR-60C,2012,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y2958600,Y29586.00,YASR-60F,2012,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y2959200,Y29592.00,YASR-61B,2012,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y2959900,Y29599.00,YASR-66,2012,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y2960000,Y29600.00,YASR-67,2012,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C5967600,C59676.00,CSAS040B,2014,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
