C0000100,rank,csv_code,shap_logit,abs_shap_logit,base_logit,predicted_logit,probability,y_true,ref_id,variable,survey_year,feature_group,question
475705,4,Y3676400,-0.809343082276842,0.809343082276842,-0.4582665201088846,-1.8344817991559665,0.137705228513067,0,Y36764.00,RESTYPE2016,2016,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
475705,5,C1944900,0.4373650506577826,0.4373650506577826,-0.4582665201088846,-1.8344817991559665,0.137705228513067,0,C19449.00,MS981A16,1998,family/home,HOME PART A (0-2 YRS): HOW OFTEN MOTHER TALKS TO CHILD WHILE
475705,6,Y3373600,-0.41185453196771304,0.41185453196771304,-0.4582665201088846,-1.8344817991559665,0.137705228513067,0,Y33736.00,Q2-43,2016,school/achievement,IN PAST YEAR HOW OFTEN R HAS ATTENDED RELIGIOUS SERVICES
475705,7,C2521400,0.3715732144073496,0.3715732144073496,-0.4582665201088846,-1.8344817991559665,0.137705228513067,0,C25214.00,NH6_112002,2002,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER
475705,8,C0005700,0.3488536014110589,0.3488536014110589,-0.4582665201088846,-1.8344817991559665,0.137705228513067,0,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
373902,1,Y2616600,-0.8834950494775827,0.8834950494775827,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,Y26166.00,RESTYPE2010,2010,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
373902,2,C2434400,0.3712184723323506,0.3712184723323506,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C24344.00,MS2-19,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
373902,3,C3946500,-0.30144158647205616,0.30144158647205616,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C39465.00,MS-BPI-10,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
373902,4,C3946800,0.284497971438928,0.284497971438928,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C39468.00,MS-BPI-13,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
373902,5,C3421500,0.2805654016011143,0.2805654016011143,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C34215.00,MS-BPI-19,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
373902,6,C0005700,0.239817166460616,0.239817166460616,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
373902,7,C2521400,0.21875942630111955,0.21875942630111955,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C25214.00,NH6_112002,2002,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER
373902,8,C0008048,0.194489393884684,0.194489393884684,-0.4582665201088846,0.7623729576685333,0.6818687067244179,1,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
136202,1,Y2616600,-0.8834950494775827,0.8834950494775827,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,Y26166.00,RESTYPE2010,2010,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
136202,2,C3868100,0.4940706205666202,0.4940706205666202,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,C38681.00,CSAS024A,2008,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
136202,3,C2433500,0.47839530453776846,0.47839530453776846,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,C24335.00,MS2-10,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
136202,4,C3868400,0.4226997055665551,0.4226997055665551,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,C38684.00,CSAS030A,2008,other,CHILD SELF-ADMIN: GIRLS AND BOYS SHOULD BE TREATED THE SAME AT
136202,5,C3609000,-0.4050730737979085,0.4050730737979085,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,C36090.00,ANTIPX2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
136202,6,Y2590306,-0.38481119098813066,0.38481119098813066,-0.4582665201088846,1.4950166164521776,0.8168300456263794,1,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
