csv_code,coefficient,mean_abs_shap_logit,mean_shap_logit,ref_id,variable,survey_year,feature_group,question
C5807500,-0.08872243755080106,0.011777278128281266,0.0005951694356884868,C58075.00,BPEXTZ2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C2497700,-0.01871362188092797,0.011749574900915423,0.0009853379374518913,C24977.00,ANTIZX2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
C2525000,-0.1406049807527107,0.011715030500209238,-0.0019577892649199455,C25250.00,BPMIS22002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -
C0574100,0.03342322906097725,0.011688291513236958,0.0004060792154921481,C05741.00,ANTIP1986,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
C1197415,-0.019886624531787064,0.011672534908994028,0.0018809324931495744,C11974.15,BPEXTP1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C3987700,-0.030255053820320604,0.01165721456798027,0.0003350176254138534,C39877.00,ANTIP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
C1504700,-0.020287395248438953,0.011633622196372614,0.0006171976765309864,C15047.00,ANTIZX1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
C3924800,-0.03357207672052915,0.011529299645694735,-0.0007150673365923624,C39248.00,MS-HOME-D02F,2008,family/home,HOME PART D (10-14 YRS): HOW OFTEN CHILD EXPECTED TO HELP MANAGE
C3609300,-0.02657910743481582,0.011522284600444601,-0.00029379071998535757,C36093.00,ANTIZ2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN
C0944900,-0.056476927650378705,0.01137128098633638,0.0009819750618137457,C09449.00,CS906663,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: R USED MARIJUANA IN THE PAST 3 MONTHS
Y3030900,0.11146227886645203,0.011349050253586809,0.0012935665967544734,Y30309.00,Q4-5AA,2014,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
C1140100,0.028083287802423727,0.011321839718696255,0.0009456277871917847,C11401.00,CS926859,1992,substance/risk behavior,CHILD SELF-ADMINISTERED: CHILD'S AGE WHEN FIRST DRANK ALCOHOL
Y2674500,-0.14136007587270555,0.01128644493554302,-0.002460433046297841,Y26745.00,Q4-5AA,2012,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
