feature_index,feature,threshold,left_value,right_value,loss,iteration,csv_code,ref_id,variable,survey_year,feature_group,question
863,C0005700,1985.0,-0.162058440359415,0.1139429490227893,0.17630631097229582,74,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
644,Y3254900,2.5,-0.3759339085988418,0.04833591420912959,0.17604656067015165,75,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
748,Y3456000,1.5,0.0416946490476335,-0.43379249180740614,0.17566531307234257,76,Y3456000,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
377,C0008048,2.5,0.07019079897958787,-0.2560850452654749,0.17544700858898143,77,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
733,Y3599000,550.0,0.04682821568184403,-0.37883525391451073,0.1751941058277905,78,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
644,Y3254900,2.5,-0.37042920105866467,0.04757816641271189,0.17489050513012927,79,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
644,Y3254900,3.5,0.04121244789980657,-0.42743297710284517,0.17444541446149678,80,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1985.0,-0.15867179980867333,0.11145164129930842,0.1741370221779822,81,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
733,Y3599000,450.0,-0.40316498779139126,0.043075362872031175,0.173889029724744,82,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,550.0,0.04622976693085795,-0.3740753170943649,0.17356453115475196,83,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
643,Y3300000,1.5,0.04876085692126551,-0.3529221153668189,0.17324866690054744,84,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
863,C0005700,1985.0,-0.1566378279829519,0.10999684213493144,0.1729591046843027,85,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
748,Y3456000,1.5,0.04037366114483174,-0.4208398573750928,0.17263042736695927,86,Y3456000,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
644,Y3254900,2.5,-0.3630815802817791,0.046597470636541044,0.1723329090466104,87,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
644,Y3254900,3.5,0.04036271966204401,-0.41900315659663956,0.17190302556200351,88,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
733,Y3599000,450.0,-0.3954683464748366,0.042231345790042556,0.1717260486981378,89,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,550.0,0.04538362235247813,-0.36739526480036916,0.17137204137402817,90,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
377,C0008048,2.5,0.06761680004056596,-0.24697342232777691,0.17102509435576774,91,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
644,Y3254900,2.5,-0.35824106928479593,0.04593222430529713,0.17081778319357216,92,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
644,Y3254900,3.5,0.039731744371358374,-0.41290997771003835,0.17044084358001654,93,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1984.0,-0.17451779711715026,0.09454357798569116,0.1701282578926535,94,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
733,Y3599000,450.0,-0.3897196087135736,0.04154774581047276,0.16990849711714673,95,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,550.0,0.04468677436836022,-0.36231534782750396,0.16954225248417584,96,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
443,Y2590306,5.5,-0.3099673268013768,0.05212481409785535,0.1692258408053156,97,Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
644,Y3254900,2.5,-0.3527741347272081,0.045207842183178304,0.16902445053543488,98,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
644,Y3254900,3.5,0.0390742264514645,-0.406326907234596,0.16868244797444074,99,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1985.0,-0.15125275367590904,0.1060857438626431,0.16832866979817193,100,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
733,Y3599000,450.0,-0.384249984237934,0.04095204902237619,0.16810737617631222,101,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,550.0,0.04404629959408302,-0.35722168564334433,0.16775267397077076,102,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
863,C0005700,1985.0,-0.14952939817419794,0.10487390919093101,0.16759023697852607,103,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
642,Y3332600,15.0,0.03913990495904843,-0.39519776436603643,0.167275854799558,104,Y3332600,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
644,Y3254900,2.5,-0.346479230711128,0.04439831534650316,0.16702202318771564,105,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
644,Y3254900,3.5,0.038366880461722944,-0.39901117775722594,0.16669891788643584,106,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
377,C0008048,2.5,0.06481777218390208,-0.237096437104253,0.16638789172215568,107,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
733,Y3599000,450.0,-0.37788604161694217,0.04023470240427502,0.16610727898345723,108,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,550.0,0.043336250745264815,-0.3517708978352002,0.1657242031585933,109,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
443,Y2590306,5.5,-0.2998965253173466,0.05037805640013482,0.16553536870535077,110,Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
863,C0005700,1985.0,-0.14667353866071647,0.10280416527675583,0.16533842875694332,111,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
733,Y3599000,450.0,-0.373711214041081,0.03978452335341963,0.16504269465462904,112,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,550.0,0.04282251713951452,-0.34765299616519585,0.164688935012153,113,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
644,Y3254900,2.5,-0.3400469785050805,0.04352701200860448,0.16442803071001652,114,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
644,Y3254900,3.5,0.037553069578365794,-0.39103755548233887,0.1641613131056571,115,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1984.0,-0.16483409020063813,0.08919360747488628,0.1639685816014822,116,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
748,Y3456000,1.5,0.03717767168407012,-0.38905304297234056,0.16371373740786718,117,Y3456000,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
643,Y3300000,1.5,0.04462642492354718,-0.3242870134068888,0.16341081947433672,118,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
642,Y3332600,15.0,0.03761753270428907,-0.38061623196712496,0.16318567686685934,119,Y3332600,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
377,C0008048,2.5,0.0626629308571173,-0.2294938239482272,0.16289176357657234,120,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
733,Y3599000,550.0,0.041798341279999686,-0.33996623006535254,0.16265992437908114,121,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,450.0,-0.365772885865772,0.03888561081350338,0.16229210178614495,122,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
644,Y3254900,2.5,-0.33248486096543545,0.04249324623405952,0.16207504251366614,123,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
443,Y2590306,5.5,-0.2897795875918779,0.048588196954163124,0.16182570204225372,124,Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
863,C0005700,1985.0,-0.14217323685942768,0.09951902346906438,0.16156352058683107,125,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
644,Y3254900,3.5,0.03649708222912392,-0.38096569332875607,0.1613027280217681,126,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
733,Y3599000,550.0,0.04120726270392011,-0.33528128717138406,0.16109762180070672,127,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,450.0,-0.36071523483694384,0.03833313446533547,0.16074202444702523,128,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
644,Y3254900,2.5,-0.3274347711136399,0.041831952652326754,0.1605702523918486,129,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1985.0,-0.1404082756742114,0.09826927048128185,0.16031482734492522,130,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
644,Y3254900,3.5,0.03598573158096112,-0.3757363833052452,0.16009830018420743,131,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
733,Y3599000,550.0,0.04069689680520169,-0.3312055205659597,0.1598560104399466,132,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
733,Y3599000,450.0,-0.3560314261748215,0.03782547331901195,0.15953276709782108,133,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
377,C0008048,2.5,0.06051693810231678,-0.2218888857566656,0.15935864502204328,134,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
642,Y3332600,15.0,0.03618999428605595,-0.3671034643978424,0.15909151420633422,135,Y3332600,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
443,Y2590306,5.5,-0.2812597887752328,0.047118149745512025,0.15887492579490844,136,Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
644,Y3254900,2.5,-0.3210462848384149,0.04096609721315484,0.15863745369844315,137,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1985.0,-0.13785300577662557,0.09640586363311446,0.1583629261942068,138,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
733,Y3599000,550.0,0.04003583435051431,-0.3262819103927153,0.1581391017210833,139,Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
