csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
C0127413,C01274.13,NH6_111991,1991,"Parents, Family Process & Childhood",quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER,family/home,1991.0
C1185100,C11851.00,MS921419,1992,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,1992.0
C1182400,C11824.00,MS921329,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,behavioral/externalizing,1992.0
C1182600,C11826.00,MS921334,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,behavioral/externalizing,1992.0
C1183000,C11830.00,MS921341,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,1992.0
C1183100,C11831.00,MS921343,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,1992.0
C1183300,C11833.00,MS921347,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,1992.0
C1183900,C11839.00,MS921359,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,1992.0
C1194100,C11941.00,ANTI1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,1992.0
C1194800,C11948.00,ANTIP1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,1992.0
C1195500,C11955.00,ANTIZ1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,1992.0
C1196200,C11962.00,ANTIPX1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,1992.0
C1196900,C11969.00,ANTIZX1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,1992.0
C1197414,C11974.14,BPEXTR1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1992.0
C1197415,C11974.15,BPEXTP1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,1992.0
C1197416,C11974.16,BPEXTZ1992,1992,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1992.0
C1184800,C11848.00,MS921413,1992,Survey Methodology,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,behavioral/externalizing,1992.0
C1137200,C11372.00,CS926762,1992,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,prior delinquency/contact,1992.0
C1137500,C11375.00,CS926768,1992,"Education, Training & Achievement Scores",crime_related_variable,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,school/achievement,1992.0
C1140000,C11400.00,CS926857,1992,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAS CHILD DRUNK ALCOHOL IN THE PAST 3,substance/risk behavior,1992.0
C1140100,C11401.00,CS926859,1992,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,substance/risk behavior,1992.0
C1140300,C11403.00,CS926863,1992,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAS CHILD USED MARIJUANA IN THE PAST 3,substance/risk behavior,1992.0
C1140400,C11404.00,CS926865,1992,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: CHILD'S AGE WHEN FIRST USED MARIJUANA,substance/risk behavior,1992.0
C1140600,C11406.00,CS926869,1992,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAS CHILD USED OTHER DRUGS IN THE PAST 3,substance/risk behavior,1992.0
C1437500,C14375.00,MS941519,1994,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,1994.0
C1434800,C14348.00,MS941429,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,behavioral/externalizing,1994.0
C1435000,C14350.00,MS941433,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,behavioral/externalizing,1994.0
C1435400,C14354.00,MS941441,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,1994.0
C1435500,C14355.00,MS941443,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,1994.0
C1435700,C14357.00,MS941447,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,1994.0
C1436300,C14363.00,MS941459,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,1994.0
C1501900,C15019.00,ANTI1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,1994.0
C1502600,C15026.00,ANTIP1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,1994.0
C1503300,C15033.00,ANTIZ1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,1994.0
C1504000,C15040.00,ANTIPX1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,1994.0
C1504700,C15047.00,ANTIZX1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,1994.0
C1505600,C15056.00,BPEXTR1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1994.0
C1505700,C15057.00,BPEXTP1994,1994,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,1994.0
