C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
266303.0,2663.0,1.0,0.0,1.0,1.0,2000.0,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
282902.0,2829.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
52802.0,528.0,1.0,0.0,2.0,1.0,2002.0,,2010.0,0.0,0.0,0.0,0.0,,,2010.0
343602.0,3436.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2014.0,0.0,0.0,0.0,0.0,,,2014.0
122101.0,1221.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
407801.0,4078.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
120702.0,1207.0,1.0,0.0,2.0,1.0,2002.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
267502.0,2675.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
248202.0,2482.0,1.0,0.0,1.0,1.0,2000.0,,2014.0,1.0,0.0,1.0,1.0,2000.0,,2014.0
135602.0,1356.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
412302.0,4123.0,1.0,1.0,5.0,3.0,2004.0,2006.0,2018.0,1.0,0.0,1.0,1.0,2008.0,,2018.0
147402.0,1474.0,1.0,0.0,2.0,1.0,2002.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
83401.0,834.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
123402.0,1234.0,1.0,1.0,4.0,2.0,2016.0,2018.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
39701.0,397.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
306602.0,3066.0,1.0,1.0,7.0,3.0,2002.0,2004.0,2014.0,1.0,1.0,3.0,2.0,2004.0,2010.0,2014.0
369801.0,3698.0,1.0,0.0,1.0,1.0,2014.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
119502.0,1195.0,1.0,1.0,4.0,2.0,2014.0,2016.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
385301.0,3853.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
495404.0,4954.0,1.0,1.0,4.0,2.0,2012.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
110801.0,1108.0,1.0,0.0,1.0,1.0,2010.0,,2010.0,1.0,0.0,1.0,1.0,2010.0,,2010.0
254402.0,2544.0,1.0,1.0,5.0,3.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
34301.0,343.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
319004.0,3190.0,1.0,1.0,5.0,3.0,2010.0,2012.0,2016.0,0.0,0.0,0.0,0.0,,,2016.0
230802.0,2308.0,1.0,0.0,2.0,1.0,2002.0,,2002.0,0.0,0.0,0.0,0.0,,,2002.0
335002.0,3350.0,1.0,0.0,2.0,1.0,2012.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
202701.0,2027.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
447402.0,4474.0,1.0,1.0,6.0,4.0,2000.0,2006.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
221503.0,2215.0,1.0,0.0,2.0,1.0,2014.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
497202.0,4972.0,1.0,1.0,5.0,3.0,2004.0,2006.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
269203.0,2692.0,1.0,1.0,6.0,3.0,2016.0,2018.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
299302.0,2993.0,1.0,0.0,1.0,1.0,2000.0,,2000.0,,,,,,,
