C0000100,C0005700,predictor_cutoff_year,persistent_violence_contact_age15_25,n_original_bol_features_pre15_by_year
506404,1987.0,2002.0,0.0,283
506901,1978.0,1993.0,1.0,105
506902,1984.0,1999.0,0.0,250
507101,1973.0,1988.0,0.0,24
507102,1975.0,1990.0,0.0,53
507401,1979.0,1994.0,1.0,105
508801,1979.0,1994.0,1.0,105
508802,1980.0,1995.0,0.0,150
508901,1983.0,1998.0,0.0,201
509801,1980.0,1995.0,0.0,150
509802,1980.0,1995.0,1.0,150
509901,1985.0,2000.0,0.0,250
510001,1979.0,1994.0,0.0,105
510002,1982.0,1997.0,0.0,201
510301,1986.0,2001.0,0.0,283
510501,1973.0,1988.0,0.0,24
510502,1976.0,1991.0,0.0,81
510701,1982.0,1997.0,0.0,201
510702,1987.0,2002.0,0.0,283
510801,1981.0,1996.0,0.0,155
510802,1985.0,2000.0,0.0,250
511001,1985.0,2000.0,0.0,250
511301,1986.0,2001.0,0.0,283
511401,1987.0,2002.0,0.0,283
511501,1984.0,1999.0,0.0,250
511701,1978.0,1993.0,1.0,105
511702,1983.0,1998.0,0.0,201
511901,1980.0,1995.0,0.0,150
512101,1975.0,1990.0,0.0,53
512102,1978.0,1993.0,1.0,105
512301,1982.0,1997.0,0.0,201
512302,1986.0,2001.0,0.0,283
512501,1978.0,1993.0,0.0,105
512502,1980.0,1995.0,0.0,150
512503,1982.0,1997.0,0.0,201
513101,1981.0,1996.0,1.0,155
513102,1982.0,1997.0,0.0,201
513401,1983.0,1998.0,0.0,201
513402,1985.0,2000.0,0.0,250
513501,1980.0,1995.0,1.0,150
513502,1982.0,1997.0,0.0,201
513503,1983.0,1998.0,0.0,201
513801,1982.0,1997.0,0.0,201
514301,1986.0,2001.0,1.0,283
514802,1982.0,1997.0,0.0,201
515101,1981.0,1996.0,0.0,155
515102,1984.0,1999.0,0.0,250
516401,1985.0,2000.0,0.0,250
516402,1986.0,2001.0,0.0,283
517901,1984.0,1999.0,0.0,250
518001,1985.0,2000.0,0.0,250
518002,1987.0,2002.0,0.0,283
518901,1985.0,2000.0,0.0,250
519501,1982.0,1997.0,0.0,201
519502,1983.0,1998.0,0.0,201
519801,1983.0,1998.0,0.0,201
519802,1986.0,2001.0,0.0,283
519901,1980.0,1995.0,0.0,150
519902,1985.0,2000.0,0.0,250
520901,1985.0,2000.0,0.0,250
520902,1987.0,2002.0,0.0,283
521201,1981.0,1996.0,1.0,155
521202,1983.0,1998.0,0.0,201
521601,1983.0,1998.0,1.0,201
521602,1985.0,2000.0,0.0,250
521901,1978.0,1993.0,1.0,105
521902,1982.0,1997.0,0.0,201
521903,1984.0,1999.0,1.0,250
522401,1982.0,1997.0,0.0,201
522402,1983.0,1998.0,0.0,201
523101,1984.0,1999.0,0.0,250
523102,1987.0,2002.0,0.0,283
523201,1984.0,1999.0,0.0,250
523601,1978.0,1993.0,0.0,105
523602,1981.0,1996.0,0.0,155
524701,1983.0,1998.0,0.0,201
524702,1985.0,2000.0,0.0,250
525501,1977.0,1992.0,0.0,82
526101,1981.0,1996.0,0.0,155
526401,1980.0,1995.0,0.0,150
526402,1985.0,2000.0,0.0,250
526501,1985.0,2000.0,0.0,250
526801,1982.0,1997.0,0.0,201
527101,1979.0,1994.0,0.0,105
527102,1980.0,1995.0,0.0,150
527103,1983.0,1998.0,0.0,201
527201,1980.0,1995.0,0.0,150
527202,1983.0,1998.0,0.0,201
527301,1981.0,1996.0,0.0,155
527302,1983.0,1998.0,0.0,201
527303,1985.0,2000.0,0.0,250
528001,1980.0,1995.0,0.0,150
528002,1984.0,1999.0,0.0,250
528302,1982.0,1997.0,0.0,201
528501,1980.0,1995.0,0.0,150
528502,1984.0,1999.0,0.0,250
528601,1978.0,1993.0,0.0,105
528602,1980.0,1995.0,0.0,150
528603,1984.0,1999.0,0.0,250
528801,1985.0,2000.0,0.0,250
528901,1984.0,1999.0,0.0,250
528902,1986.0,2001.0,0.0,283
529401,1975.0,1990.0,1.0,53
529402,1977.0,1992.0,0.0,82
529501,1980.0,1995.0,0.0,150
529502,1983.0,1998.0,0.0,201
529801,1985.0,2000.0,1.0,250
529802,1987.0,2002.0,0.0,283
529901,1987.0,2002.0,0.0,283
530101,1985.0,2000.0,0.0,250
530801,1984.0,1999.0,0.0,250
530802,1987.0,2002.0,0.0,283
530903,1984.0,1999.0,0.0,250
531101,1974.0,1989.0,0.0,53
531102,1983.0,1998.0,0.0,201
531103,1985.0,2000.0,0.0,250
531501,1984.0,1999.0,0.0,250
531502,1986.0,2001.0,0.0,283
531701,1985.0,2000.0,0.0,250
531702,1987.0,2002.0,0.0,283
532501,1979.0,1994.0,0.0,105
532502,1981.0,1996.0,0.0,155
532503,1982.0,1997.0,0.0,201
532701,1985.0,2000.0,0.0,250
532702,1987.0,2002.0,0.0,283
532801,1984.0,1999.0,0.0,250
533001,1987.0,2002.0,0.0,283
533201,1979.0,1994.0,0.0,105
533202,1983.0,1998.0,0.0,201
533203,1984.0,1999.0,0.0,250
533204,1986.0,2001.0,0.0,283
533301,1979.0,1994.0,0.0,105
533302,1982.0,1997.0,0.0,201
533303,1985.0,2000.0,0.0,250
533801,1983.0,1998.0,0.0,201
533901,1976.0,1991.0,0.0,81
533902,1981.0,1996.0,0.0,155
534101,1985.0,2000.0,0.0,250
534901,1983.0,1998.0,0.0,201
534902,1984.0,1999.0,0.0,250
536002,1980.0,1995.0,0.0,150
536003,1984.0,1999.0,0.0,250
536901,1982.0,1997.0,0.0,201
536902,1987.0,2002.0,0.0,283
537201,1986.0,2001.0,0.0,283
537301,1987.0,2002.0,0.0,283
537401,1985.0,2000.0,0.0,250
537601,1982.0,1997.0,0.0,201
538101,1987.0,2002.0,0.0,283
538901,1986.0,2001.0,0.0,283
539101,1979.0,1994.0,0.0,105
539102,1981.0,1996.0,0.0,155
539103,1984.0,1999.0,0.0,250
539104,1987.0,2002.0,0.0,283
539701,1982.0,1997.0,0.0,201
539702,1984.0,1999.0,0.0,250
540601,1977.0,1992.0,0.0,82
540602,1979.0,1994.0,0.0,105
540603,1982.0,1997.0,0.0,201
540604,1984.0,1999.0,0.0,250
540605,1986.0,2001.0,0.0,283
540801,1985.0,2000.0,0.0,250
540901,1979.0,1994.0,0.0,105
540902,1983.0,1998.0,0.0,201
542101,1981.0,1996.0,0.0,155
542102,1983.0,1998.0,0.0,201
542103,1985.0,2000.0,0.0,250
542104,1987.0,2002.0,0.0,283
542201,1977.0,1992.0,0.0,82
542202,1980.0,1995.0,0.0,150
542401,1985.0,2000.0,0.0,250
542402,1987.0,2002.0,0.0,283
542501,1975.0,1990.0,0.0,53
542701,1980.0,1995.0,0.0,150
542702,1985.0,2000.0,0.0,250
543401,1978.0,1993.0,0.0,105
543402,1981.0,1996.0,0.0,155
545401,1982.0,1997.0,0.0,201
545501,1980.0,1995.0,0.0,150
545801,1981.0,1996.0,0.0,155
546001,1978.0,1993.0,0.0,105
546201,1981.0,1996.0,1.0,155
546202,1982.0,1997.0,0.0,201
546203,1983.0,1998.0,0.0,201
546401,1985.0,2000.0,0.0,250
546501,1976.0,1991.0,0.0,81
546502,1978.0,1993.0,0.0,105
546503,1983.0,1998.0,0.0,201
546504,1984.0,1999.0,1.0,250
546601,1981.0,1996.0,0.0,155
546602,1986.0,2001.0,0.0,283
546701,1980.0,1995.0,0.0,150
546702,1986.0,2001.0,0.0,283
546901,1983.0,1998.0,0.0,201
547301,1977.0,1992.0,0.0,82
547302,1979.0,1994.0,1.0,105
547601,1979.0,1994.0,0.0,105
547701,1979.0,1994.0,0.0,105
547702,1981.0,1996.0,0.0,155
547801,1985.0,2000.0,1.0,250
548001,1984.0,1999.0,0.0,250
548501,1986.0,2001.0,0.0,283
548601,1984.0,1999.0,0.0,250
548701,1979.0,1994.0,0.0,105
548801,1976.0,1991.0,0.0,81
548802,1979.0,1994.0,0.0,105
548803,1981.0,1996.0,0.0,155
549201,1978.0,1993.0,0.0,105
549801,1980.0,1995.0,0.0,150
549802,1986.0,2001.0,0.0,283
550201,1986.0,2001.0,0.0,283
550801,1979.0,1994.0,0.0,105
550901,1980.0,1995.0,0.0,150
551501,1982.0,1997.0,0.0,201
551801,1984.0,1999.0,0.0,250
552402,1985.0,2000.0,1.0,250
