C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
6201,62.0,3.0,1.0,1996.0,1.0,32.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
6202,62.0,3.0,2.0,1998.0,2.0,34.0,16.0,16.0,1.0,1.0,False,1.0,2014,0,,,,,False,,15,2013.0
6203,62.0,3.0,2.0,2001.0,3.0,37.0,15.0,17.0,2.0,2.0,False,2.0,2016;2018,0,,,,,False,,15,2016.0
6801,68.0,3.0,2.0,1993.0,1.0,31.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
6802,68.0,3.0,1.0,1995.0,2.0,33.0,15.0,17.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2010.0
6803,68.0,3.0,2.0,1996.0,3.0,34.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
7501,75.0,3.0,2.0,1994.0,1.0,31.0,,,,,,,,0,,,,,False,,15,2009.0
7502,75.0,3.0,2.0,1996.0,2.0,34.0,,,,,,,,0,,,,,False,,15,2011.0
7801,78.0,3.0,2.0,1989.0,1.0,31.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
7802,78.0,3.0,2.0,1992.0,2.0,34.0,,,,,,,,0,,,,,False,,15,2007.0
7803,78.0,3.0,1.0,1996.0,3.0,39.0,,,,,,,,0,,,,,False,,15,2011.0
7804,78.0,3.0,2.0,2000.0,4.0,42.0,,,,,,,,0,,,,,False,,15,2015.0
8601,86.0,2.0,2.0,1977.0,1.0,17.0,11.0,33.0,10.0,4.0,True,4.0,1994;1996;2000;2002,1,17.0,,17.0,1994,True,0.0,15,1992.0
8901,89.0,2.0,2.0,1986.0,1.0,27.0,24.0,24.0,1.0,1.0,False,1.0,2010,0,,,,,False,,15,2001.0
9101,91.0,3.0,1.0,1994.0,1.0,30.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,1,16.0,,16.0,2010,False,,15,2009.0
9102,91.0,3.0,1.0,1996.0,2.0,33.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
9201,92.0,3.0,1.0,1982.0,1.0,20.0,16.0,30.0,4.0,2.0,True,2.0,1998;2000,0,,,,,True,0.0,15,1997.0
9202,92.0,3.0,1.0,1992.0,2.0,29.0,20.0,20.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2007.0
9501,95.0,3.0,1.0,1985.0,1.0,25.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
9502,95.0,3.0,1.0,1987.0,2.0,26.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
9503,95.0,3.0,1.0,1988.0,3.0,28.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
9601,96.0,3.0,2.0,1980.0,1.0,19.0,16.0,30.0,8.0,5.0,True,5.0,1996;1998;2000;2002;2004,1,18.0,,18.0,1998,True,0.0,15,1995.0
9602,96.0,3.0,2.0,1986.0,2.0,25.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,1,18.0,,18.0,2004,True,0.0,15,2001.0
9603,96.0,3.0,1.0,1998.0,3.0,36.0,16.0,16.0,1.0,1.0,False,1.0,2014,0,,,,,False,,15,2013.0
9701,97.0,3.0,1.0,1987.0,1.0,29.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,1,17.0,,17.0,2004,True,0.0,15,2002.0
9702,97.0,3.0,1.0,1989.0,2.0,31.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,3,15.0,17.0,21.0,2004;2006;2010,False,,15,2004.0
9801,98.0,3.0,1.0,1987.0,1.0,30.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
9802,98.0,3.0,1.0,1990.0,2.0,33.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
9803,98.0,3.0,1.0,1994.0,3.0,37.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2009.0
9901,99.0,3.0,1.0,1987.0,1.0,29.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
9902,99.0,3.0,1.0,1993.0,2.0,35.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,1,15.0,,15.0,2008,False,,15,2008.0
10001,100.0,3.0,1.0,1985.0,1.0,21.0,15.0,21.0,2.0,2.0,False,2.0,2000;2006,0,,,,,False,,15,2000.0
10002,100.0,3.0,1.0,1991.0,2.0,27.0,15.0,19.0,3.0,3.0,False,3.0,2006;2008;2010,0,,,,,False,,15,2006.0
10003,100.0,3.0,2.0,1993.0,3.0,29.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
10201,102.0,3.0,1.0,1992.0,1.0,27.0,16.0,20.0,2.0,2.0,False,2.0,2008;2012,0,,,,,False,,15,2007.0
11101,111.0,3.0,2.0,1982.0,1.0,22.0,16.0,30.0,8.0,5.0,True,5.0,1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1997.0
11102,111.0,3.0,2.0,1983.0,2.0,24.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
11103,111.0,3.0,1.0,1987.0,3.0,27.0,15.0,23.0,4.0,4.0,False,4.0,2002;2004;2008;2010,0,,,,,False,,15,2002.0
11201,112.0,3.0,1.0,1982.0,1.0,18.0,16.0,30.0,7.0,5.0,True,5.0,1998;2000;2002;2004;2006,1,16.0,,16.0,1998,True,0.0,15,1997.0
